mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,zcr,chroma_mean,label
-360.09933,22.019585,-72.17022,-25.820877,-28.075487,0.68429565,13.991911,-6.4367623,-18.203794,33.65715,-8.5182905,3.718016,7.1190596,2254.6348800352935,0.09933568869426751,0.26591405,female1
-424.1501,26.204453,-66.43043,41.55924,3.6107213,-60.74099,-20.674871,2.4947884,-1.7607205,25.456635,-2.7588446,0.77547014,12.229854,2185.109361305632,0.10781513145583832,0.24041282,female1
-464.5292,-8.834193,-26.840797,72.71536,2.2190177,-42.397076,2.727844,-3.5547104,-31.59119,19.704456,-18.27735,6.226011,-2.3591807,2543.302266332512,0.0984916907514451,0.25461158,female1
-434.86215,52.83904,-46.4339,0.33409038,-40.795803,-28.138374,24.308582,-16.651693,-17.52992,27.494417,-3.3559697,2.9270558,9.143897,1816.2937153317605,0.0707718888683432,0.227547,female1
-493.98175,42.12904,0.8540691,16.317635,-28.028332,-19.169281,8.368003,-6.2191186,-36.691353,19.811087,-19.01387,2.3852623,12.418822,1778.5603962740065,0.04866587005046584,0.18995966,female1
-526.36664,61.424747,-11.051874,-31.584827,-9.911292,6.1064906,19.225363,-12.003592,-18.801388,28.904528,1.1396518,0.87133884,10.017869,1998.604081333565,0.06351915401090343,0.21828638,female1
-569.1849,31.95003,9.155424,30.100937,18.132038,-33.972675,-17.48561,6.0780516,5.874179,4.024137,6.441555,3.9484053,3.468143,2144.6113092452338,0.042321213942307694,0.22734404,female1
-619.04126,28.216478,34.008156,49.4994,21.704517,-36.865448,-4.0346527,3.0388775,-15.973538,8.845376,3.9704487,3.63641,-5.061548,2174.233311099073,0.03620340737951807,0.21357326,female1
-619.4556,90.08416,35.683567,-18.296137,-14.453628,-12.651362,15.179423,-0.7892389,-5.470878,12.820719,4.249932,-0.8120481,16.46031,1688.1138856552234,0.04280178931451613,0.2164919,female1
-616.30005,92.58125,54.734184,-15.800052,-9.865122,-7.608002,10.330372,0.16481309,-14.276723,8.516262,-5.9816747,5.048554,13.462766,1644.4057829799103,0.03613613414115646,0.15514168,female1
-351.61215,72.09841,-70.74576,-6.46964,-43.7432,-14.473205,22.466599,-17.369667,-10.3418665,13.5535145,-5.6169443,1.0338734,5.5254507,1832.4850033392192,0.07245038006756757,0.31667367,female1
-387.09155,40.544716,-59.666447,55.81677,15.600384,-58.933716,-27.198996,-1.9332201,-13.846102,7.365925,-5.7696376,5.0858054,4.439722,1958.6042563174622,0.09172247023809524,0.28660774,female1
-400.43567,12.23592,-32.772972,63.73775,6.490511,-43.562817,-4.9641223,-4.7350345,-25.182402,4.9427977,-9.593984,3.8886538,-3.0634372,2138.3440768391115,0.0789523654513889,0.26944757,female1
-398.0162,70.731346,-9.334869,0.19802406,-41.444447,-40.235023,4.633472,-8.447916,-15.408055,15.051568,-8.311315,1.1423475,5.134141,1376.7694754157276,0.04967389787946429,0.25564563,female1
-445.13138,60.571327,8.274368,7.7626595,-22.263468,-20.60872,3.0556,-8.232184,-16.322649,7.5147524,-12.930834,2.6510835,1.254978,1247.0311772545917,0.0331493313029661,0.2510236,female1
-306.00546,34.20556,-53.556656,-15.553474,-32.388004,-15.10429,12.574441,-15.510576,-16.8529,27.548042,1.3424442,8.993487,7.768858,1947.929030483866,0.0762060546875,0.25536522,female1
-347.11935,11.004943,-64.07568,38.612057,9.218582,-49.779102,-23.35105,-3.3324628,-10.452713,9.940669,5.7064757,13.460351,8.137109,2107.902255994482,0.11219009088010204,0.31173226,female1
-357.99118,-0.45803133,-44.95984,43.847874,3.5973566,-42.682114,-11.887461,-2.8616242,-19.25433,7.8159847,2.9582224,12.139206,0.40469015,2172.8276675744805,0.08883463541666667,0.30599487,female1
-358.78415,35.387123,-17.172707,-4.4866147,-32.028362,-28.95317,2.415778,-12.20072,-14.345879,22.089825,5.9914145,6.6254883,9.120279,1524.6790598237712,0.05454799107142857,0.26350302,female1
-367.33505,34.420963,-13.148299,-2.6020722,-29.839762,-24.869463,4.2011127,-15.196119,-22.678392,19.03204,-2.757869,9.025024,9.41014,1656.5014885563003,0.046722740255376344,0.22690806,female1
-463.29962,82.89224,-38.368256,-16.882763,-28.314402,-10.014816,26.297846,-13.356553,-10.386971,20.17708,-7.8558664,5.7501373,9.106999,1519.9963632307358,0.05576746323529412,0.30521125,female1
-471.05856,52.90698,-42.312992,42.146717,23.917982,-42.729477,-24.89811,-2.2903233,-4.007201,3.5846825,0.49692506,6.9144707,3.0982215,1650.5169936234834,0.07346462673611111,0.30012178,female1
-470.98355,36.724266,-29.415628,54.13077,18.523447,-39.005447,-12.243986,-3.9356577,-19.552765,1.6422862,-1.5669765,3.6844401,-4.43774,1713.3221373115882,0.051626810213414635,0.26571977,female1
-488.7042,82.84197,-0.64081115,-1.8136681,-29.962135,-33.32678,8.281806,-3.962547,-8.166638,17.270582,-2.9613163,-2.0923898,6.3558946,1275.9376322908458,0.047617594401041664,0.28622088,female1
-491.54007,63.000946,13.811107,0.07712249,-15.823387,-14.538167,1.4691993,-8.631644,-15.471574,9.834069,-9.01713,1.6957773,3.6346378,1273.6101634241313,0.032552083333333336,0.28137836,female1
-390.4356,47.10486,-46.10225,-23.458754,-22.8114,-14.288455,9.337441,-15.053994,-14.02643,27.372175,5.9305563,8.514839,8.034189,1651.5811508252475,0.06358156922043011,0.28669858,female1
-418.2389,26.211006,-45.2127,21.431591,15.480599,-34.696552,-34.497627,3.5465374,0.37658474,2.826375,9.945227,12.52815,2.8812225,1739.7246098600854,0.07412109375,0.29940033,female1
-425.21454,18.295797,-38.981544,35.636227,4.943714,-37.179203,-24.17538,0.0128163975,-13.776056,0.576911,14.705577,11.324485,-2.2033002,1747.1905458007018,0.05157877604166667,0.24872035,female1
-424.91183,46.16402,-13.612953,-11.886212,-24.459352,-24.077652,-2.133964,-7.068401,-9.949432,18.93512,10.810868,5.5513763,6.4688444,1327.2286064434445,0.05565356182795699,0.27964932,female1
-443.26935,49.227604,-5.927057,-10.821447,-19.838331,-18.010433,-3.9846826,-8.452843,-9.826811,13.654323,10.277053,9.820445,6.254175,1134.4213362149258,0.03975467891483517,0.25666577,female1
-496.08984,127.31303,4.229534,17.797342,-1.8221724,-8.696604,-13.06944,-16.91227,-34.172295,11.052771,-0.6617426,1.291776,8.473006,1258.1290428547786,0.03435369318181818,0.33630306,female1
-504.82196,116.288925,-7.763443,39.001965,35.474697,-23.68336,-46.83096,-6.762374,-13.252098,5.525588,-9.632855,-4.721483,15.465758,1386.6343917209404,0.03796506005700326,0.33933744,female1
-516.44946,115.48074,-9.972321,40.36791,42.139133,-26.499779,-44.641132,-7.011163,-14.697136,1.8116134,-9.891224,0.6098683,6.891618,1379.488422959894,0.038526541456228955,0.3254192,female1
-515.33307,137.06793,12.723163,17.183493,-13.611768,-20.137896,-8.847155,-10.005791,-25.48189,4.664053,-3.500858,-4.8578815,10.9750395,1180.0776773439222,0.03627232142857143,0.32526818,female1
-515.4827,130.39096,11.304596,20.937065,-5.8429246,-12.74182,-12.181672,-11.441623,-33.030205,4.078735,-3.4443877,-4.913157,14.803156,1159.1645346379466,0.031471307329136694,0.3219663,female1
-368.30643,65.28907,-73.75544,-6.4031167,-38.14706,-29.396236,29.951109,-16.456268,-18.303482,23.859367,-5.0313425,-1.705891,12.919166,1825.978401100759,0.07574688946759259,0.2627147,female1
-381.70453,32.917747,-71.75645,45.500698,23.352596,-56.82302,-29.82562,-4.143872,-10.3337965,12.007266,-1.2124528,-2.5016947,13.865998,1995.7733466919105,0.11985518292682927,0.25894722,female1
-394.18988,9.307905,-49.876953,66.31201,14.506521,-48.979443,-6.0408006,-2.127253,-25.739655,6.2088747,-12.238342,0.9229593,-2.0439787,2195.270317509753,0.08817200741525423,0.24967425,female1
-397.73822,60.33596,-31.486103,3.8212535,-39.35623,-42.901596,13.551128,-3.8110645,-23.331831,25.29089,-7.698428,-4.703205,12.168913,1584.5830694124934,0.05892747724089636,0.23392564,female1
-439.5036,44.68068,-3.5403054,11.363447,-22.860228,-25.008043,6.896248,-6.3540864,-24.070473,13.600769,-9.363045,-3.845971,9.166622,1463.7523553803794,0.040307828260086456,0.23630945,female1
-418.2,25.204645,-53.913425,-11.387058,-32.930782,-22.215055,13.371171,-11.801519,-22.941612,32.442204,-0.9557984,0.17012995,9.572228,2115.4875775213636,0.09233231977982954,0.2556324,female1
-456.66815,4.088502,-66.4371,30.821457,9.870803,-43.577835,-31.223999,3.271435,-10.36733,8.398805,2.7986307,5.38769,8.476544,2243.9258209752825,0.12794712611607142,0.27685487,female1
-480.8363,-0.17402165,-57.383377,43.784714,6.9626207,-47.57769,-18.142931,0.83719283,-18.733717,1.4763174,0.96672195,7.960037,1.824731,2335.058216296695,0.09587250169376693,0.2449502,female1
-495.59888,21.482307,-32.643833,1.8114921,-33.349457,-31.629143,7.903941,-8.558425,-24.747158,29.708122,-0.21681951,-1.3333912,12.604235,2132.6173941659745,0.07362760050912921,0.23054744,female1
-522.26715,24.228437,-22.189686,4.3960233,-28.177498,-27.746937,4.799008,-11.688094,-29.958519,22.305988,-0.17373137,-1.6569651,15.390173,1936.8229044921718,0.05494412508877841,0.23128591,female1
-500.56903,83.516266,-45.49135,-8.420511,-32.411377,-24.863604,26.451674,-13.925369,-11.515701,16.586084,1.2858031,0.21876252,11.875618,1458.4600459140079,0.06085987580128205,0.22372471,female1
-488.1031,37.970173,-53.463837,42.827713,21.107182,-37.54565,-29.207644,-3.9254684,-4.8170295,7.854917,-1.8258667,4.1855435,8.799028,1882.892909223547,0.09661816144436998,0.25255874,female1
-477.31955,17.452917,-47.00838,66.26366,17.26466,-45.48643,-8.060023,-2.940192,-21.387745,4.599457,-13.13659,3.3904796,-1.1547376,2058.2398671377787,0.06594016335227272,0.21218364,female1
-501.90347,64.13871,-11.131636,5.105233,-29.68936,-36.58918,9.048403,-6.2004533,-16.68836,20.27164,-3.8462052,-1.6837983,8.85298,1375.9182434694885,0.05599830264136905,0.20756169,female1
